"coefficient","stdev","N.treatment","N.control"
-0.463532128206411,0.128310723018147,45,22
-0.14753289142018,0.0872307328898399,161,57
-0.166115426978203,0.0530044251201639,364,152
-0.134938353697016,0.0401609126053671,759,254
-0.131242374929265,0.0323352513296337,1096,392
-0.0887708161878536,0.0265435605822113,1631,530
-0.0548579413406258,0.0208664400378486,2580,754
-0.038076457011098,0.0185713416954683,4090,984
-0.0139995461659989,0.0170751060854961,5535,1062
-0.0257728304594847,0.016523903026698,7583,1164
